symbol,score,rank,ret_1d
CLSK,3.314855709985254,1,-0.0010775862068965747
BLKB,3.169800389177063,2,0.045838614279678724
F,3.118338389054533,3,-0.0198159943382874
CELC,2.939085886798872,4,-0.015001863585538566
WDC,2.880450109034402,5,0.043821055225088834
DOCN,2.79175013097929,6,0.017735737511084926
PACS,2.755183019897782,7,-0.049743964886613035
SNDK,2.7398389015800366,8,0.01661050813593179
VFC,2.689196861809971,9,0.029367844698855228
BE,2.6428885543641454,10,0.08223231489127447
IDYA,2.539089890657094,11,0.005201560468140354
JEF,2.5314869217589244,12,0.036360138514813345
COLM,2.524175041283449,13,0.004218090923293172
DXC,2.47972833589316,14,0.013452914798206317
PJT,2.461313213635031,15,0.01130686300289252
ARWR,2.3876275231184083,16,0.010833725859632493
SPG,2.3007350705188343,17,-0.011781594970545983
ONDS,2.261965132005972,18,0.10149253731343277
APLS,2.2535465960206578,19,0.029207232267037586
VSAT,2.2360118732963232,20,-0.005408913890090905
MCY,2.2232471136617007,21,-0.09200540596735618
SOLV,2.1944170860114336,22,0.016004340160043373
TERN,2.165159255773368,23,-0.005811015664476948
VICR,2.159140999508778,24,-0.010618006103763955
FCFS,2.1589788199957773,25,0.0011419249592170555
MU,2.1225459207147783,27,0.05295412476862271
PL,2.111467007877349,28,0.06888788833858617
VISN,2.104699056365174,29,-0.009947643979057674
CWEN,2.037800649332822,30,-0.012051155927201074
MSGE,1.8998064845048592,31,0.020459952418715455
HOG,1.8623635302632413,32,0.011302211302211207
DAN,1.7606099915824511,33,0.05780346820809257
APLD,1.7345837609754506,34,-0.049165673420739076
AMG,1.7314081065158629,35,0.02396210643633334
MATX,1.7125799306344562,36,0.014662223568615573
AA,1.697839568792079,37,0.047677048895075735
ERAS,1.6915972745242105,38,0.01686746987951815
AEO,1.6830399015594326,39,0.005615724027276503
OPEN,1.6656649518955864,40,0.06928406466512693
FOLD,1.6500894784921591,41,0.002797202797202747
GSAT,1.635797025604458,42,-0.0008465966813411274
AGNC,1.6334870316742025,43,0.0008849557522123686
TDC,1.626108197044417,44,0.006441717791411117
RL,1.5806483366799184,45,0.02045883940620774
LQDA,1.5668327447562236,46,0.033096926713947816
LITE,1.5424318236880146,47,-0.010259485027147575
AMKR,1.520947244806632,49,-0.002134927412468013
CENX,1.5194125210740088,50,0.027203927183472976
INCY,1.498568351363765,51,0.018090154211150677
FG,1.4907402791500648,52,0.00840630472854631
CIFR,1.4675345166141047,53,-0.01406649616368294
AD,1.4666748360200947,54,-0.031030444964871284
CSGS,1.466362031986559,55,0.0
NLY,1.442440984301632,56,0.0008703220191470518
LGND,1.4381789098064195,57,0.012959308836862027
GMED,1.436886218858936,58,0.012921348314606895
SM,1.4316995631299214,59,0.0793357933579335
WU,1.416230108279131,60,0.022245762711864403
ARLP,1.4131339801936622,61,0.010933229207340966
ALL,1.4114808361551088,62,-0.01361152976639024
WBD,1.4107836220208136,63,0.0013913043478259723
SCCO,1.4007964767286551,64,0.02478723404255323
NGVT,1.39977392411378,65,-0.019786307874950504
LNC,1.3912354440952266,66,0.006495068559057016
KRYS,1.383428756313471,67,-0.015807392996108782
APA,1.378086068316154,68,0.04645208485735175
TTMI,1.3676490501665033,69,0.0336596634033659
BXP,1.3560378719082165,70,0.01467194197164523
FTAI,1.340117916697237,71,0.0049343832020998235
BTSG,1.3375978192018878,72,0.06994279771190848
PR,1.3368689416247197,73,0.0394349617422014
VIRT,1.322126414913916,74,0.007164790174002178
COMP,1.3205882494395436,75,0.035643564356435675
STRK,1.3121920497939592,76,-0.0019120458891014325
BBT,1.3098565583567237,77,0.009480222294867557
TER,1.308810182220612,78,0.030406179425915614
ENS,1.307693116078706,79,-0.0118499382230709
CVI,1.303714620155576,80,-0.007104795737122527
ALHC,1.3031447444751552,81,-0.0038853812530353915
MKSI,1.272452339854611,82,-0.0478436145128166
INSW,1.264389163740385,83,0.014746972989754692
KRC,1.254646589964718,84,0.014460861364350874
EXPE,1.2487288083744637,85,0.016814689152779172
