symbol,score,rank,price_signal,price_trade,ret_1d,matched
CLSK,3.314855709985254,1,,,-0.0010775862068965,True
BLKB,3.169800389177063,2,,,0.0458386142796787,True
F,3.1183383890545335,3,,,-0.0198159943382874,True
CELC,2.9390858867988716,4,,,-0.0150018635855385,True
WDC,2.880450109034402,5,,,0.0438210552250888,True
DOCN,2.79175013097929,6,,,0.0177357375110849,True
PACS,2.755183019897782,7,,,-0.049743964886613,True
SNDK,2.7398389015800366,8,,,0.0166105081359317,True
VFC,2.689196861809971,9,,,0.0293678446988552,True
BE,2.6428885543641454,10,,,0.0822323148912744,True
IDYA,2.539089890657094,11,,,0.0052015604681403,True
JEF,2.5314869217589244,12,,,0.0363601385148133,True
COLM,2.524175041283449,13,,,0.0042180909232931,True
DXC,2.47972833589316,14,,,0.0134529147982063,True
PJT,2.461313213635031,15,,,0.0113068630028925,True
ARWR,2.3876275231184083,16,,,0.0108337258596324,True
SPG,2.3007350705188343,17,,,-0.0117815949705459,True
ONDS,2.261965132005972,18,,,0.1014925373134327,True
APLS,2.2535465960206578,19,,,0.0292072322670375,True
VSAT,2.2360118732963232,20,,,-0.0054089138900909,True
MCY,2.2232471136617007,21,,,-0.0920054059673561,True
SOLV,2.1944170860114336,22,,,0.0160043401600433,True
TERN,2.165159255773368,23,,,-0.0058110156644769,True
VICR,2.159140999508778,24,,,-0.0106180061037639,True
FCFS,2.1589788199957773,25,,,0.001141924959217,True
COMM,2.1541879242574686,26,,,,
MU,2.1225459207147783,27,,,0.0529541247686227,True
PL,2.111467007877349,28,,,0.0688878883385861,True
VISN,2.104699056365174,29,,,-0.0099476439790576,True
CWEN,2.037800649332822,30,,,-0.012051155927201,True
MSGE,1.8998064845048592,31,,,0.0204599524187154,True
HOG,1.8623635302632415,32,,,0.0113022113022112,True
DAN,1.7606099915824511,33,,,0.0578034682080925,True
APLD,1.7345837609754506,34,,,-0.049165673420739,True
AMG,1.7314081065158629,35,,,0.0239621064363333,True
MATX,1.7125799306344562,36,,,0.0146622235686155,True
AA,1.697839568792079,37,,,0.0476770488950757,True
ERAS,1.6915972745242105,38,,,0.0168674698795181,True
AEO,1.6830399015594326,39,,,0.0056157240272765,True
OPEN,1.6656649518955864,40,,,0.0692840646651269,True
