symbol,signal_date,trade_date,price_signal,price_trade,ret_1d,matched
CLSK,2026-02-17,2026-02-18,,,-0.0010775862068965,True
BLKB,2026-02-17,2026-02-18,,,0.0458386142796787,True
F,2026-02-17,2026-02-18,,,-0.0198159943382874,True
CELC,2026-02-17,2026-02-18,,,-0.0150018635855385,True
WDC,2026-02-17,2026-02-18,,,0.0438210552250888,True
DOCN,2026-02-17,2026-02-18,,,0.0177357375110849,True
PACS,2026-02-17,2026-02-18,,,-0.049743964886613,True
SNDK,2026-02-17,2026-02-18,,,0.0166105081359317,True
VFC,2026-02-17,2026-02-18,,,0.0293678446988552,True
BE,2026-02-17,2026-02-18,,,0.0822323148912744,True
IDYA,2026-02-17,2026-02-18,,,0.0052015604681403,True
JEF,2026-02-17,2026-02-18,,,0.0363601385148133,True
COLM,2026-02-17,2026-02-18,,,0.0042180909232931,True
DXC,2026-02-17,2026-02-18,,,0.0134529147982063,True
PJT,2026-02-17,2026-02-18,,,0.0113068630028925,True
ARWR,2026-02-17,2026-02-18,,,0.0108337258596324,True
SPG,2026-02-17,2026-02-18,,,-0.0117815949705459,True
ONDS,2026-02-17,2026-02-18,,,0.1014925373134327,True
APLS,2026-02-17,2026-02-18,,,0.0292072322670375,True
VSAT,2026-02-17,2026-02-18,,,-0.0054089138900909,True
MCY,2026-02-17,2026-02-18,,,-0.0920054059673561,True
SOLV,2026-02-17,2026-02-18,,,0.0160043401600433,True
TERN,2026-02-17,2026-02-18,,,-0.0058110156644769,True
VICR,2026-02-17,2026-02-18,,,-0.0106180061037639,True
FCFS,2026-02-17,2026-02-18,,,0.001141924959217,True
MU,2026-02-17,2026-02-18,,,0.0529541247686227,True
PL,2026-02-17,2026-02-18,,,0.0688878883385861,True
VISN,2026-02-17,2026-02-18,,,-0.0099476439790576,True
CWEN,2026-02-17,2026-02-18,,,-0.012051155927201,True
MSGE,2026-02-17,2026-02-18,,,0.0204599524187154,True
HOG,2026-02-17,2026-02-18,,,0.0113022113022112,True
DAN,2026-02-17,2026-02-18,,,0.0578034682080925,True
APLD,2026-02-17,2026-02-18,,,-0.049165673420739,True
AMG,2026-02-17,2026-02-18,,,0.0239621064363333,True
MATX,2026-02-17,2026-02-18,,,0.0146622235686155,True
AA,2026-02-17,2026-02-18,,,0.0476770488950757,True
ERAS,2026-02-17,2026-02-18,,,0.0168674698795181,True
AEO,2026-02-17,2026-02-18,,,0.0056157240272765,True
OPEN,2026-02-17,2026-02-18,,,0.0692840646651269,True
FOLD,2026-02-17,2026-02-18,,,0.0027972027972027,True
GSAT,2026-02-17,2026-02-18,,,-0.0008465966813411,True
AGNC,2026-02-17,2026-02-18,,,0.0008849557522123,True
TDC,2026-02-17,2026-02-18,,,0.0064417177914111,True
RL,2026-02-17,2026-02-18,,,0.0204588394062077,True
LQDA,2026-02-17,2026-02-18,,,0.0330969267139478,True
LITE,2026-02-17,2026-02-18,,,-0.0102594850271475,True
AMKR,2026-02-17,2026-02-18,,,-0.002134927412468,True
CENX,2026-02-17,2026-02-18,,,0.0272039271834729,True
INCY,2026-02-17,2026-02-18,,,0.0180901542111506,True
FG,2026-02-17,2026-02-18,,,0.0084063047285463,True
CIFR,2026-02-17,2026-02-18,,,-0.0140664961636829,True
AD,2026-02-17,2026-02-18,,,-0.0310304449648712,True
CSGS,2026-02-17,2026-02-18,,,0.0,True
NLY,2026-02-17,2026-02-18,,,0.000870322019147,True
LGND,2026-02-17,2026-02-18,,,0.012959308836862,True
GMED,2026-02-17,2026-02-18,,,0.0129213483146068,True
SM,2026-02-17,2026-02-18,,,0.0793357933579335,True
WU,2026-02-17,2026-02-18,,,0.0222457627118644,True
ARLP,2026-02-17,2026-02-18,,,0.0109332292073409,True
ALL,2026-02-17,2026-02-18,,,-0.0136115297663902,True
WBD,2026-02-17,2026-02-18,,,0.0013913043478259,True
SCCO,2026-02-17,2026-02-18,,,0.0247872340425532,True
NGVT,2026-02-17,2026-02-18,,,-0.0197863078749505,True
LNC,2026-02-17,2026-02-18,,,0.006495068559057,True
KRYS,2026-02-17,2026-02-18,,,-0.0158073929961087,True
APA,2026-02-17,2026-02-18,,,0.0464520848573517,True
TTMI,2026-02-17,2026-02-18,,,0.0336596634033659,True
BXP,2026-02-17,2026-02-18,,,0.0146719419716452,True
FTAI,2026-02-17,2026-02-18,,,0.0049343832020998,True
BTSG,2026-02-17,2026-02-18,,,0.0699427977119084,True
PR,2026-02-17,2026-02-18,,,0.0394349617422014,True
VIRT,2026-02-17,2026-02-18,,,0.0071647901740021,True
COMP,2026-02-17,2026-02-18,,,0.0356435643564356,True
STRK,2026-02-17,2026-02-18,,,-0.0019120458891014,True
BBT,2026-02-17,2026-02-18,,,0.0094802222948675,True
TER,2026-02-17,2026-02-18,,,0.0304061794259156,True
ENS,2026-02-17,2026-02-18,,,-0.0118499382230709,True
CVI,2026-02-17,2026-02-18,,,-0.0071047957371225,True
ALHC,2026-02-17,2026-02-18,,,-0.0038853812530353,True
MKSI,2026-02-17,2026-02-18,,,-0.0478436145128166,True
INSW,2026-02-17,2026-02-18,,,0.0147469729897546,True
KRC,2026-02-17,2026-02-18,,,0.0144608613643508,True
EXPE,2026-02-17,2026-02-18,,,0.0168146891527791,True
AB,2026-02-17,2026-02-18,,,-0.0082066135650493,True
UTHR,2026-02-17,2026-02-18,,,-0.0132042618465237,True
REAL,2026-02-17,2026-02-18,,,0.0477064220183485,True
BYD,2026-02-17,2026-02-18,,,0.0183850036049026,True
LEVI,2026-02-17,2026-02-18,,,0.0192395785616126,True
JXN,2026-02-17,2026-02-18,,,0.0099326308516152,True
BELFB,2026-02-17,2026-02-18,,,-0.0599660008499788,True
EE,2026-02-17,2026-02-18,,,0.0004786979415987,True
FHI,2026-02-17,2026-02-18,,,0.0215014577259475,True
TVTX,2026-02-17,2026-02-18,,,-0.0306086956521738,True
RDDT,2026-02-17,2026-02-18,,,0.0591108238167064,True
DAL,2026-02-17,2026-02-18,,,0.0036697247706423,True
SYF,2026-02-17,2026-02-18,,,0.0074678467708475,True
CIEN,2026-02-17,2026-02-18,,,0.0285449674197069,True
MLI,2026-02-17,2026-02-18,,,-0.0149869495663887,True
GPCR,2026-02-17,2026-02-18,,,-0.0427111048872707,True
APP,2026-02-17,2026-02-18,,,0.0744194696848929,True
EPD,2026-02-17,2026-02-18,,,-0.0174149659863945,True
TSLA,2026-02-17,2026-02-18,,,0.0016803448359836,True
TNL,2026-02-17,2026-02-18,,,0.0347241284655504,True
APAM,2026-02-17,2026-02-18,,,0.0009436187780136,True
MDB,2026-02-17,2026-02-18,,,0.0245795236482673,True
NATL,2026-02-17,2026-02-18,,,-0.0110901368570082,True
BWA,2026-02-17,2026-02-18,,,-0.0126379779235322,True
PFSI,2026-02-17,2026-02-18,,,0.0232211333617384,True
HII,2026-02-17,2026-02-18,,,0.0168968240672042,True
GL,2026-02-17,2026-02-18,,,-0.0158316770612021,True
FIX,2026-02-17,2026-02-18,,,-0.013664735563446,True
AMTM,2026-02-17,2026-02-18,,,0.027287853577371,True
LC,2026-02-17,2026-02-18,,,0.0464216634429401,True
SEE,2026-02-17,2026-02-18,,,-0.000715137067938,True
FSLR,2026-02-17,2026-02-18,,,0.0553859765538595,True
MTCH,2026-02-17,2026-02-18,,,0.0033134526176277,True
FTDR,2026-02-17,2026-02-18,,,-0.0088480222068008,True
MAT,2026-02-17,2026-02-18,,,0.0261282660332542,True
DAVE,2026-02-17,2026-02-18,,,0.0224222863937488,True
EIX,2026-02-17,2026-02-18,,,-0.0240828899467936,True
BA,2026-02-17,2026-02-18,,,-0.0209391902966725,True
ONTO,2026-02-17,2026-02-18,,,-0.0013164465023377,True
VCYT,2026-02-17,2026-02-18,,,0.016097696364141,True
ALB,2026-02-17,2026-02-18,,,0.0136159128581578,True
DBD,2026-02-17,2026-02-18,,,-0.0228868975538871,True
PIPR,2026-02-17,2026-02-18,,,0.0273125,True
SF,2026-02-17,2026-02-18,,,0.0201507069680806,True
WST,2026-02-17,2026-02-18,,,0.020847896706279,True
KTOS,2026-02-17,2026-02-18,,,0.0569751005762748,True
PPC,2026-02-17,2026-02-18,,,0.0064397424103035,True
GM,2026-02-17,2026-02-18,,,0.03016498399409,True
SNX,2026-02-17,2026-02-18,,,0.0080695608657574,True
INDV,2026-02-17,2026-02-18,,,-0.0112230215827338,True
W,2026-02-17,2026-02-18,,,0.0733309867417575,True
EPAM,2026-02-17,2026-02-18,,,0.0338471023427866,True
CDP,2026-02-17,2026-02-18,,,-0.0072463768115941,True
UPWK,2026-02-17,2026-02-18,,,0.0760188087774296,True
STT,2026-02-17,2026-02-18,,,0.013125,True
CC,2026-02-17,2026-02-18,,,0.0227272727272727,True
CI,2026-02-17,2026-02-18,,,-0.0020295139486085,True
HOLX,2026-02-17,2026-02-18,,,0.0006653359946773,True
LRCX,2026-02-17,2026-02-18,,,0.0191442397487053,True
RGEN,2026-02-17,2026-02-18,,,0.019939443172587,True
