symbol,date,signal,score,rank,decile
RCL,2026-02-17,-1.0978971587470752,-1.0978971587470752,1368,D10
AAP,2026-02-17,-1.0997637278984225,-1.0997637278984225,1369,D10
AMBA,2026-02-17,-1.1015251078691204,-1.1015251078691204,1370,D10
NEE,2026-02-17,-1.1040159699226306,-1.1040159699226306,1371,D10
LFUS,2026-02-17,-1.107954013901165,-1.107954013901165,1372,D10
GSHD,2026-02-17,-1.108559737155046,-1.108559737155046,1373,D10
COIN,2026-02-17,-1.1116979986255258,-1.1116979986255258,1374,D10
BIO,2026-02-17,-1.1263036416924443,-1.1263036416924443,1375,D10
ASAN,2026-02-17,-1.1314253642662784,-1.1314253642662784,1376,D10
VRNS,2026-02-17,-1.159279314905421,-1.159279314905421,1377,D10
NVDA,2026-02-17,-1.159706241477706,-1.159706241477706,1378,D10
HON,2026-02-17,-1.1753918409847053,-1.1753918409847053,1379,D10
BMI,2026-02-17,-1.1826432797759214,-1.1826432797759214,1380,D10
SLG,2026-02-17,-1.2107568559856727,-1.2107568559856727,1381,D10
IVZ,2026-02-17,-1.2122754615227906,-1.2122754615227906,1382,D10
PFE,2026-02-17,-1.2418349932883297,-1.2418349932883297,1383,D10
DKNG,2026-02-17,-1.2468523907911246,-1.2468523907911246,1384,D10
ZBRA,2026-02-17,-1.2545983612734914,-1.2545983612734914,1385,D10
TWST,2026-02-17,-1.278675382819213,-1.278675382819213,1386,D10
OC,2026-02-17,-1.289830020412733,-1.289830020412733,1387,D10
DUOL,2026-02-17,-1.3113024318068491,-1.3113024318068491,1388,D10
RUM,2026-02-17,-1.3148325808980592,-1.3148325808980592,1389,D10
RXO,2026-02-17,-1.3151277339723808,-1.3151277339723808,1390,D10
CAR,2026-02-17,-1.3169770354961183,-1.3169770354961183,1391,D10
BEPC,2026-02-17,-1.3430241220184136,-1.3430241220184136,1392,D10
RITM,2026-02-17,-1.3507444837498497,-1.3507444837498497,1393,D10
HIMS,2026-02-17,-1.351356642544751,-1.351356642544751,1394,D10
VERX,2026-02-17,-1.3529905285319417,-1.3529905285319417,1395,D10
RGLD,2026-02-17,-1.4010832514256846,-1.4010832514256846,1396,D10
MTN,2026-02-17,-1.410770492972424,-1.410770492972424,1397,D10
QS,2026-02-17,-1.418724094879919,-1.418724094879919,1398,D10
RYAN,2026-02-17,-1.4349805131544573,-1.4349805131544573,1399,D10
RBLX,2026-02-17,-1.4570852701333878,-1.4570852701333878,1400,D10
PCVX,2026-02-17,-1.4603067000880403,-1.4603067000880403,1401,D10
CMPO,2026-02-17,-1.546101597984148,-1.546101597984148,1402,D10
TTD,2026-02-17,-1.5501779223215484,-1.5501779223215484,1403,D10
BRBR,2026-02-17,-1.5533375093479422,-1.5533375093479422,1404,D10
VKTX,2026-02-17,-1.5556059492770422,-1.5556059492770422,1405,D10
GPGI,2026-02-17,-1.5585257801693,-1.5585257801693,1406,D10
DYN,2026-02-17,-1.5635560201687226,-1.5635560201687226,1407,D10
SLNO,2026-02-17,-1.6543575170602458,-1.6543575170602458,1408,D10
JOBY,2026-02-17,-1.6555292668974837,-1.6555292668974837,1409,D10
MARA,2026-02-17,-1.6570436137628382,-1.6570436137628382,1410,D10
