symbol,date,signal,score,rank,decile
CLSK,2026-02-17,3.314855709985254,3.314855709985254,1,D1
BLKB,2026-02-17,3.169800389177063,3.169800389177063,2,D1
F,2026-02-17,3.1183383890545335,3.1183383890545335,3,D1
CELC,2026-02-17,2.9390858867988716,2.9390858867988716,4,D1
WDC,2026-02-17,2.880450109034402,2.880450109034402,5,D1
DOCN,2026-02-17,2.79175013097929,2.79175013097929,6,D1
PACS,2026-02-17,2.755183019897782,2.755183019897782,7,D1
SNDK,2026-02-17,2.7398389015800366,2.7398389015800366,8,D1
VFC,2026-02-17,2.689196861809971,2.689196861809971,9,D1
BE,2026-02-17,2.6428885543641454,2.6428885543641454,10,D1
IDYA,2026-02-17,2.539089890657094,2.539089890657094,11,D1
JEF,2026-02-17,2.5314869217589244,2.5314869217589244,12,D1
COLM,2026-02-17,2.524175041283449,2.524175041283449,13,D1
DXC,2026-02-17,2.47972833589316,2.47972833589316,14,D1
PJT,2026-02-17,2.461313213635031,2.461313213635031,15,D1
ARWR,2026-02-17,2.3876275231184083,2.3876275231184083,16,D1
SPG,2026-02-17,2.3007350705188343,2.3007350705188343,17,D1
ONDS,2026-02-17,2.261965132005972,2.261965132005972,18,D1
APLS,2026-02-17,2.2535465960206578,2.2535465960206578,19,D1
VSAT,2026-02-17,2.2360118732963232,2.2360118732963232,20,D1
MCY,2026-02-17,2.2232471136617007,2.2232471136617007,21,D1
SOLV,2026-02-17,2.1944170860114336,2.1944170860114336,22,D1
TERN,2026-02-17,2.165159255773368,2.165159255773368,23,D1
VICR,2026-02-17,2.159140999508778,2.159140999508778,24,D1
FCFS,2026-02-17,2.1589788199957773,2.1589788199957773,25,D1
COMM,2026-02-17,2.1541879242574686,2.1541879242574686,26,D1
MU,2026-02-17,2.1225459207147783,2.1225459207147783,27,D1
PL,2026-02-17,2.111467007877349,2.111467007877349,28,D1
VISN,2026-02-17,2.104699056365174,2.104699056365174,29,D1
CWEN,2026-02-17,2.037800649332822,2.037800649332822,30,D1
MSGE,2026-02-17,1.8998064845048592,1.8998064845048592,31,D1
HOG,2026-02-17,1.8623635302632415,1.8623635302632415,32,D1
DAN,2026-02-17,1.7606099915824511,1.7606099915824511,33,D1
APLD,2026-02-17,1.7345837609754506,1.7345837609754506,34,D1
AMG,2026-02-17,1.7314081065158629,1.7314081065158629,35,D1
MATX,2026-02-17,1.7125799306344562,1.7125799306344562,36,D1
AA,2026-02-17,1.697839568792079,1.697839568792079,37,D1
ERAS,2026-02-17,1.6915972745242105,1.6915972745242105,38,D1
AEO,2026-02-17,1.6830399015594326,1.6830399015594326,39,D1
OPEN,2026-02-17,1.6656649518955864,1.6656649518955864,40,D1
FOLD,2026-02-17,1.6500894784921591,1.6500894784921591,41,D1
GSAT,2026-02-17,1.635797025604458,1.635797025604458,42,D1
AGNC,2026-02-17,1.6334870316742025,1.6334870316742025,43,D1
TDC,2026-02-17,1.626108197044417,1.626108197044417,44,D1
RL,2026-02-17,1.5806483366799184,1.5806483366799184,45,D1
LQDA,2026-02-17,1.5668327447562236,1.5668327447562236,46,D1
LITE,2026-02-17,1.5424318236880146,1.5424318236880146,47,D1
HI,2026-02-17,1.529579609213182,1.529579609213182,48,D1
AMKR,2026-02-17,1.520947244806632,1.520947244806632,49,D1
CENX,2026-02-17,1.5194125210740088,1.5194125210740088,50,D1
INCY,2026-02-17,1.498568351363765,1.498568351363765,51,D1
FG,2026-02-17,1.4907402791500648,1.4907402791500648,52,D1
CIFR,2026-02-17,1.4675345166141047,1.4675345166141047,53,D1
AD,2026-02-17,1.4666748360200947,1.4666748360200947,54,D1
CSGS,2026-02-17,1.466362031986559,1.466362031986559,55,D1
NLY,2026-02-17,1.442440984301632,1.442440984301632,56,D1
LGND,2026-02-17,1.4381789098064195,1.4381789098064195,57,D1
GMED,2026-02-17,1.436886218858936,1.436886218858936,58,D1
SM,2026-02-17,1.4316995631299214,1.4316995631299214,59,D1
WU,2026-02-17,1.416230108279131,1.416230108279131,60,D1
ARLP,2026-02-17,1.4131339801936622,1.4131339801936622,61,D1
ALL,2026-02-17,1.4114808361551088,1.4114808361551088,62,D1
