symbol,score,rank
CLSK,3.314855709985254,1
BLKB,3.169800389177063,2
F,3.1183383890545335,3
CELC,2.9390858867988716,4
WDC,2.880450109034402,5
DOCN,2.79175013097929,6
PACS,2.755183019897782,7
SNDK,2.7398389015800366,8
VFC,2.689196861809971,9
BE,2.6428885543641454,10
IDYA,2.539089890657094,11
JEF,2.5314869217589244,12
COLM,2.524175041283449,13
DXC,2.47972833589316,14
PJT,2.461313213635031,15
ARWR,2.3876275231184083,16
SPG,2.3007350705188343,17
ONDS,2.261965132005972,18
APLS,2.2535465960206578,19
VSAT,2.2360118732963232,20
MCY,2.2232471136617007,21
SOLV,2.1944170860114336,22
TERN,2.165159255773368,23
VICR,2.159140999508778,24
FCFS,2.1589788199957773,25
COMM,2.1541879242574686,26
MU,2.1225459207147783,27
PL,2.111467007877349,28
VISN,2.104699056365174,29
CWEN,2.037800649332822,30
MSGE,1.8998064845048592,31
HOG,1.8623635302632415,32
DAN,1.7606099915824511,33
APLD,1.7345837609754506,34
AMG,1.7314081065158629,35
MATX,1.7125799306344562,36
AA,1.697839568792079,37
ERAS,1.6915972745242105,38
AEO,1.6830399015594326,39
OPEN,1.6656649518955864,40
FOLD,1.6500894784921591,41
GSAT,1.635797025604458,42
AGNC,1.6334870316742025,43
TDC,1.626108197044417,44
RL,1.5806483366799184,45
LQDA,1.5668327447562236,46
LITE,1.5424318236880146,47
HI,1.529579609213182,48
AMKR,1.520947244806632,49
CENX,1.5194125210740088,50
INCY,1.498568351363765,51
FG,1.4907402791500648,52
CIFR,1.4675345166141047,53
AD,1.4666748360200947,54
CSGS,1.466362031986559,55
NLY,1.442440984301632,56
LGND,1.4381789098064195,57
GMED,1.436886218858936,58
SM,1.4316995631299214,59
WU,1.416230108279131,60
ARLP,1.4131339801936622,61
ALL,1.4114808361551088,62
WBD,1.4107836220208136,63
SCCO,1.4007964767286551,64
NGVT,1.39977392411378,65
LNC,1.3912354440952266,66
KRYS,1.383428756313471,67
APA,1.378086068316154,68
TTMI,1.3676490501665033,69
BXP,1.3560378719082165,70
FTAI,1.340117916697237,71
BTSG,1.3375978192018878,72
PR,1.3368689416247197,73
VIRT,1.322126414913916,74
COMP,1.3205882494395436,75
STRK,1.3121920497939592,76
BBT,1.3098565583567237,77
TER,1.308810182220612,78
ENS,1.307693116078706,79
CVI,1.303714620155576,80
ALHC,1.3031447444751552,81
MKSI,1.272452339854611,82
INSW,1.264389163740385,83
KRC,1.254646589964718,84
EXPE,1.2487288083744637,85
AB,1.2455088291515537,86
UTHR,1.2450226851070922,87
REAL,1.2415183235606664,88
BYD,1.2363277304770734,89
LEVI,1.225609144877719,90
JXN,1.2252405154130177,91
BELFB,1.2227436139103756,92
EE,1.220022993332092,93
FHI,1.2033021534904844,94
TVTX,1.198602896787443,95
RDDT,1.198452026395717,96
DAL,1.193523917038192,97
SYF,1.18060018458908,98
CIEN,1.168277237982678,99
MLI,1.1658387556962049,100
GPCR,1.1605105575421175,101
APP,1.156566642175629,102
EPD,1.1484691713017237,103
TSLA,1.1405377215093713,104
TNL,1.1334677386267134,105
APAM,1.131131496001999,106
MDB,1.1273698260252003,107
NATL,1.1206072277466157,108
BWA,1.1190882362177856,109
PFSI,1.1165059247041471,110
HII,1.1164628749492436,111
GL,1.0953987454034737,112
FIX,1.0921935237865263,113
AMTM,1.0919438050226382,114
LC,1.0904917772197789,115
SEE,1.0811064474996046,116
FSLR,1.0776144886794257,117
MTCH,1.0588536859849973,118
FTDR,1.0549056412484386,119
MAT,1.0526070000373675,120
DAVE,1.0431216201859663,121
EIX,1.041561031686789,122
BA,1.0387277773114565,123
ONTO,1.0387113878939085,124
VCYT,1.0377599529068593,125
ALB,1.03612397490146,126
DBD,1.0344199351837404,127
PIPR,1.0334859461893473,128
SF,1.0235245182789638,129
WST,1.0161631914436853,130
KTOS,1.0113798671667087,131
PPC,1.0101637902678655,132
GM,1.0098233327936972,133
SNX,1.0074700717095326,134
INDV,1.0058172800279814,135
W,1.0013870263234397,136
EPAM,0.9995150170194904,137
CDP,0.9898186749141352,138
UPWK,0.9868693764453168,139
STT,0.9864829386184952,140
CC,0.9842136599476522,141
CI,0.975686128833306,142
HOLX,0.9756468680472375,143
LRCX,0.9730254228765826,144
RGEN,0.9729819179241248,145
DECK,0.972762549878812,146
HL,0.9706572522548992,147
PTEN,0.9702239556730996,148
GNW,0.9700026671777804,149
ENVA,0.968243037997464,150
BKH,0.967844358408699,151
SHOO,0.967542094134034,152
TLN,0.9667475439456202,153
SEB,0.9661913003712664,154
OGN,0.9617550506609168,155
UAL,0.9551490837802212,156
HYMC,0.9551111010118324,157
MS,0.9498917390575304,158
UUUU,0.949548898954744,159
FLNC,0.9476513189659512,160
TPR,0.9463792809600132,161
PHIN,0.9375305797871512,162
OUT,0.9345691440003076,163
UEC,0.931821967508186,164
CMC,0.9272920568865266,165
AN,0.924703706112264,166
HIG,0.9222835018490472,167
HURN,0.9199622368451144,168
HUT,0.9139827638921536,169
TGTX,0.906439949980255,170
WEX,0.9038351347171818,171
FORM,0.9014011648524648,172
GOOGL,0.8973157029081152,173
WHR,0.8963731010667813,174
ALSN,0.8958199514853094,175
KRMN,0.8905099119865857,176
CMI,0.8904350089672965,177
DDS,0.8903938381292008,178
CINF,0.8872423794067243,179
GOOG,0.8866298127493794,180
PAA,0.8844381186723074,181
MTRN,0.8829034633975271,182
GEF,0.8827655551315374,183
NXT,0.8692850048543703,184
BDX,0.8663276353671344,185
PATH,0.8610353545640906,186
PSX,0.8564055972148156,187
COKE,0.8562551979363748,188
ATRO,0.8520766893055454,189
PRIM,0.8487899647089322,190
ZM,0.848278594130847,191
TRV,0.848112639573054,192
ACI,0.8473879753688716,193
ADPT,0.842883181770354,194
ICUI,0.8394083540157652,195
OMCL,0.8336273126321987,196
ATI,0.8276137542333105,197
M,0.8271714506145693,198
WFRD,0.8225730793456127,199
MIRM,0.8219561659310453,200
HALO,0.8211436433405075,201
AEIS,0.8177806728468755,202
POWL,0.8164518749903664,203
ARQT,0.8121342785735972,204
AES,0.8100250278004661,205
HHH,0.8080878100999452,206
HAE,0.8080840864331844,207
HTGC,0.7992993806041157,208
AKAM,0.7992249618072895,209
LCII,0.7984918253510549,210
LYFT,0.7932034343899356,211
GHC,0.7920429680767361,212
SWX,0.7917039652034081,213
WRBY,0.7908896066454115,214
COO,0.7813477667138732,215
ACMR,0.772767961362168,216
TOL,0.7724413964696606,217
HUM,0.7704351477173444,218
GVA,0.7701667754174522,219
WCC,0.7694586372719187,220
WMS,0.766347707914158,221
RVMD,0.7642254569752641,222
EAT,0.7632859076460062,223
SLGN,0.7598862175070539,224
EL,0.7590809915393536,225
MRCY,0.7548499280038744,226
BANC,0.7522639651530947,227
FIBK,0.7512179795639196,228
GLW,0.750870348561368,229
CALY,0.7463476871967065,230
LASR,0.7411374736809085,231
FSK,0.7410105276702714,232
BLTE,0.7405144044876733,233
CACI,0.734124953316045,234
IDCC,0.7329199407159857,235
UNH,0.7246959198674423,236
WT,0.7244630472811,237
ORI,0.7210246656030034,238
CMCSA,0.7205543574159243,239
OI,0.717613856507972,240
LDOS,0.7175143642108328,241
HESM,0.7151717999114539,242
FOXA,0.7148264230862662,243
TPC,0.7147121395929928,244
SGI,0.7138427725008736,245
MEDP,0.7114900462992022,246
FE,0.7066893541324353,247
ACA,0.7041554439554645,248
AGX,0.7010668969307854,249
RMD,0.6973386086430003,250
PEN,0.6968157875215472,251
FCX,0.6948216738365321,252
KWR,0.692721939653685,253
PRAX,0.6911920723306858,254
CON,0.688166299771753,255
VLY,0.6871745999860034,256
PLUS,0.6814204601442018,257
HAL,0.6807738677091623,258
RKLB,0.6748920749857946,259
SON,0.6699154263216416,260
SANM,0.6698103604473299,261
NXST,0.668989650618944,262
ZETA,0.6683293885638522,263
INTC,0.6678941026584092,264
RPRX,0.6671877100059143,265
RNG,0.6651503564550415,266
UGI,0.6648293503397376,267
