symbol,date,signal,rank
PSKY,2026-02-18,-1.0565761780511218,1368
SUN,2026-02-18,-1.0636525223305755,1369
SRRK,2026-02-18,-1.0699293569306776,1370
IT,2026-02-18,-1.072758762018276,1371
GKOS,2026-02-18,-1.0731533152264994,1372
OLED,2026-02-18,-1.07663577148917,1373
RUM,2026-02-18,-1.0798328136496975,1374
MARA,2026-02-18,-1.0831213929218872,1375
FLO,2026-02-18,-1.106111157728301,1376
SLG,2026-02-18,-1.1082248405371111,1377
DUOL,2026-02-18,-1.1268942130884996,1378
CFR,2026-02-18,-1.1500546868216688,1379
ZBRA,2026-02-18,-1.1647638547415655,1380
BEAM,2026-02-18,-1.1755310143657225,1381
VRNS,2026-02-18,-1.1853265997770457,1382
OC,2026-02-18,-1.1923540108466644,1383
TWST,2026-02-18,-1.2113068642586364,1384
HON,2026-02-18,-1.2114877542545737,1385
RXO,2026-02-18,-1.2122758080725662,1386
RITM,2026-02-18,-1.2241704937648368,1387
MPC,2026-02-18,-1.2413173633456904,1388
NVDA,2026-02-18,-1.2446987004184646,1389
BEPC,2026-02-18,-1.244965270820818,1390
TTD,2026-02-18,-1.2728635162828787,1391
RGLD,2026-02-18,-1.2979774178796786,1392
HIMS,2026-02-18,-1.3402735116087268,1393
FLR,2026-02-18,-1.362473289100622,1394
BWA,2026-02-18,-1.3729623788588856,1395
RBLX,2026-02-18,-1.375290824373239,1396
KMPR,2026-02-18,-1.3826124981394432,1397
VG,2026-02-18,-1.3978182187175376,1398
CAR,2026-02-18,-1.400987414136025,1399
PCVX,2026-02-18,-1.4542044369342333,1400
IVZ,2026-02-18,-1.4544030860973336,1401
CSGP,2026-02-18,-1.4613421078508284,1402
CMPO,2026-02-18,-1.4711160438583275,1403
DYN,2026-02-18,-1.4771880751746134,1404
GPGI,2026-02-18,-1.488970865334365,1405
BRBR,2026-02-18,-1.495787927350124,1406
RYAN,2026-02-18,-1.5076883450394525,1407
JOBY,2026-02-18,-1.5644186951733337,1408
MRNA,2026-02-18,-1.5731540128789234,1409
UPST,2026-02-18,-1.5873878502339966,1410
SFM,2026-02-18,-1.5900993692455438,1411
SLNO,2026-02-18,-1.6034607998889268,1412
KR,2026-02-18,-1.6212284313460803,1413
WULF,2026-02-18,-1.630447259240809,1414
VKTX,2026-02-18,-1.6433200876078982,1415
GPC,2026-02-18,-1.664320630665708,1416
VVV,2026-02-18,-1.7150911311009382,1417
DNLI,2026-02-18,-1.730404664529475,1418
COIN,2026-02-18,-1.740274136727151,1419
CORT,2026-02-18,-1.759458013925935,1420
SMMT,2026-02-18,-1.7844782644574166,1421
BANF,2026-02-18,-1.8551341781869617,1422
TFX,2026-02-18,-1.888677938018648,1423
SEZL,2026-02-18,-1.8900447786222567,1424
OSCR,2026-02-18,-1.9142279993334976,1425
QS,2026-02-18,-1.985500896557307,1426
IONQ,2026-02-18,-2.014681648251727,1427
SMG,2026-02-18,-2.1775870674120767,1428
CAG,2026-02-18,-2.306096267791869,1429
WD,2026-02-18,-2.3147572027820376,1430
WLK,2026-02-18,-2.3635795573354135,1431
SRPT,2026-02-18,-2.370496150293442,1432
HRB,2026-02-18,-2.421055523059574,1433
HTGC,2026-02-18,-2.425903449219374,1434
F,2026-02-18,-2.4314863333702452,1435
NOG,2026-02-18,-2.4482921015320462,1436
CZR,2026-02-18,-2.473115309135009,1437
MIDD,2026-02-18,-2.5150791145236577,1438
ACHR,2026-02-18,-2.5180165655032116,1439
BAX,2026-02-18,-2.6884800784810676,1440
OGN,2026-02-18,-2.7391227935397584,1441
RDW,2026-02-18,-2.785429707822655,1442
VNOM,2026-02-18,-3.014257937733994,1443
BBUC,2026-02-18,-3.0569300031655797,1444
ARE,2026-02-18,-3.299224473448506,1445
DOW,2026-02-18,-3.322791225788696,1446
HOG,2026-02-18,-3.435611282073718,1447
LCID,2026-02-18,-3.665809913714032,1448
SMR,2026-02-18,-3.789019639849323,1449
IP,2026-02-18,-3.8419715533268057,1450
XRAY,2026-02-18,-4.26440519676704,1451
USAR,2026-02-18,-4.282245615931223,1452
UAA,2026-02-18,-4.33821615416721,1453
UA,2026-02-18,-4.359475063038758,1454
EOSE,2026-02-18,-4.725576089351647,1455
BHF,2026-02-18,-4.939692318429218,1456
MSTR,2026-02-18,-5.559461612247556,1457
STRK,2026-02-18,-5.61606195396933,1458
LBRDA,2026-02-18,-5.726587607287202,1459
LNC,2026-02-18,-5.890882199734729,1460
CNXC,2026-02-18,-5.928062611237755,1461
BMNR,2026-02-18,-6.1116477893259695,1462
ALMS,2026-02-18,-6.185153815271842,1463
UWMC,2026-02-18,-6.252962247951178,1464
TAP,2026-02-18,-6.2779504643146575,1465
COHR,2026-02-18,-6.3084826463368175,1466
SATS,2026-02-18,-6.757043320943045,1467
