symbol,date,signal,rank
BLKB,2026-02-18,3.3338123728116473,1
KVYO,2026-02-18,3.0647896285985645,2
JEF,2026-02-18,2.804797454576351,3
WDC,2026-02-18,2.7720032680618316,4
CELC,2026-02-18,2.7713203738617627,5
PACS,2026-02-18,2.6898593564325113,6
BIO,2026-02-18,2.6549011490876673,7
SNDK,2026-02-18,2.6297823703312035,8
DOCN,2026-02-18,2.562263597167234,9
BE,2026-02-18,2.5175327912768823,10
VFC,2026-02-18,2.5163173905092737,11
GM,2026-02-18,2.4826635857814208,12
TSLA,2026-02-18,2.447390230994018,13
COLM,2026-02-18,2.4222306200782073,14
GT,2026-02-18,2.409791946510996,15
IDYA,2026-02-18,2.391118864193573,16
DXC,2026-02-18,2.3898307773667695,17
ARWR,2026-02-18,2.342525509286834,18
ONDS,2026-02-18,2.2301269875090384,19
VSAT,2026-02-18,2.215192361453697,20
SON,2026-02-18,2.1995843474399455,21
VICR,2026-02-18,2.1812254774460453,22
FG,2026-02-18,2.1473964444850475,23
MU,2026-02-18,2.122939562703414,24
LCII,2026-02-18,2.110523270715021,25
SPG,2026-02-18,2.0961351730865063,26
APLS,2026-02-18,2.090247637808004,27
SOLV,2026-02-18,2.0763274192455605,28
EXE,2026-02-18,2.0685075304758396,29
COMM,2026-02-18,2.0248245409239134,30
CWEN,2026-02-18,2.0242238260756142,31
PL,2026-02-18,1.971520030429006,32
TERN,2026-02-18,1.9628395634109097,33
VISN,2026-02-18,1.937746079311236,34
JXN,2026-02-18,1.86199655769891,35
CIFR,2026-02-18,1.8606704293305636,36
MSGE,2026-02-18,1.804019311272804,37
MATX,2026-02-18,1.7726539735170748,38
VIRT,2026-02-18,1.7524520235298169,39
CVI,2026-02-18,1.71172308692418,40
GNW,2026-02-18,1.6618635651576457,41
DBD,2026-02-18,1.657688360194151,42
FOLD,2026-02-18,1.633378137183461,43
SPHR,2026-02-18,1.6256293495155008,44
AD,2026-02-18,1.6124120014359522,45
AEO,2026-02-18,1.6078690274964609,46
AGNC,2026-02-18,1.6050045697752435,47
GSAT,2026-02-18,1.5998637719997202,48
APLD,2026-02-18,1.5903592947362926,49
ERAS,2026-02-18,1.5462443919108833,50
WU,2026-02-18,1.5239821277326366,51
COMP,2026-02-18,1.5213471493896862,52
CRBG,2026-02-18,1.4963579608743334,53
RL,2026-02-18,1.4806264416576456,54
INSW,2026-02-18,1.4575914983981957,55
ARLP,2026-02-18,1.4516756917680025,56
ALHC,2026-02-18,1.4342568700759133,57
AMKR,2026-02-18,1.4256065917941307,58
BC,2026-02-18,1.424437358953394,59
CSGS,2026-02-18,1.4213890440007555,60
NLY,2026-02-18,1.418543005275192,61
AA,2026-02-18,1.4171910025621353,62
LITE,2026-02-18,1.3946201734550223,63
CVS,2026-02-18,1.386805308278025,64
LQDA,2026-02-18,1.3867155960652735,65
BLTE,2026-02-18,1.37257652680807,66
TTMI,2026-02-18,1.3717756805195611,67
CENX,2026-02-18,1.364024472368069,68
SYF,2026-02-18,1.356865638136822,69
NGVT,2026-02-18,1.3552246913804769,70
BXP,2026-02-18,1.3489972439947775,71
TNL,2026-02-18,1.3374727381660043,72
SCCO,2026-02-18,1.3118348064529646,73
HUT,2026-02-18,1.3066940522283363,74
AMG,2026-02-18,1.304569412366333,75
PSX,2026-02-18,1.2990188179256636,76
NATL,2026-02-18,1.297539002044923,77
WBD,2026-02-18,1.2949079124807563,78
AL,2026-02-18,1.290436351845752,79
TRN,2026-02-18,1.287924653714558,80
BBT,2026-02-18,1.2792666123832634,81
TDC,2026-02-18,1.2754055577387462,82
ENS,2026-02-18,1.2716742946546815,83
BTSG,2026-02-18,1.260735738384607,84
LGND,2026-02-18,1.2600691009054217,85
DAN,2026-02-18,1.2582448236001924,86
SM,2026-02-18,1.252238629005035,87
MTCH,2026-02-18,1.2435095148281132,88
OPEN,2026-02-18,1.2277252083840662,89
PRU,2026-02-18,1.224470192982534,90
TER,2026-02-18,1.221726122960842,91
LC,2026-02-18,1.219404964834666,92
APP,2026-02-18,1.2171121408118937,93
TRV,2026-02-18,1.21682150134326,94
SEB,2026-02-18,1.212653056134515,95
PFSI,2026-02-18,1.2123513336904512,96
LEVI,2026-02-18,1.2095969365781734,97
EE,2026-02-18,1.1971885553756576,98
FHI,2026-02-18,1.196004234774455,99
MLI,2026-02-18,1.1855047279528037,100
