symbol,date,signal,rank
BLKB,2026-02-19,3.289599820303428,1
F,2026-02-19,3.222724612118837,2
WDC,2026-02-19,2.881523443727671,3
JEF,2026-02-19,2.8486638995835936,4
DOCN,2026-02-19,2.814330448244293,5
ARWR,2026-02-19,2.7756616725572187,6
PACS,2026-02-19,2.7526242351950496,7
CELC,2026-02-19,2.74154511158925,8
VFC,2026-02-19,2.718462668223614,9
SNDK,2026-02-19,2.696327433592413,10
DXC,2026-02-19,2.585884555876312,11
BE,2026-02-19,2.575922851278729,12
COLM,2026-02-19,2.5638533889007737,13
IDYA,2026-02-19,2.4622608272549784,14
VICR,2026-02-19,2.443343621098911,15
MU,2026-02-19,2.376801783978122,16
SPG,2026-02-19,2.3420462341045436,17
APLS,2026-02-19,2.240376033829161,18
ONDS,2026-02-19,2.2394461040249247,19
VSAT,2026-02-19,2.216128037661642,20
COMM,2026-02-19,2.1817742326562906,21
SOLV,2026-02-19,2.1700976228836173,22
MCY,2026-02-19,2.1679779914068575,23
CWEN,2026-02-19,2.1640106591796644,24
TERN,2026-02-19,2.029013750631653,25
PL,2026-02-19,2.028391681859749,26
VISN,2026-02-19,2.0205901433446867,27
MSGE,2026-02-19,1.9630412808406663,28
CIFR,2026-02-19,1.9468934817435952,29
MATX,2026-02-19,1.90847649284602,30
HOG,2026-02-19,1.8835040325098988,31
VIRT,2026-02-19,1.8795245130730296,32
DAN,2026-02-19,1.819907180414175,33
GSAT,2026-02-19,1.797959926446536,34
AEO,2026-02-19,1.795208162494489,35
APLD,2026-02-19,1.7850157044030015,36
AMG,2026-02-19,1.7751175032531297,37
FG,2026-02-19,1.7095077907541412,38
TDC,2026-02-19,1.6810553642476678,39
GMED,2026-02-19,1.6763916145695026,40
LITE,2026-02-19,1.6708750635615972,41
CSGS,2026-02-19,1.6339779669734955,42
FOLD,2026-02-19,1.633660115092486,43
WU,2026-02-19,1.6331033516300648,44
RL,2026-02-19,1.6280423548451857,45
ERAS,2026-02-19,1.623467400909197,46
CVI,2026-02-19,1.5922733815547914,47
AA,2026-02-19,1.5876285184061731,48
AGNC,2026-02-19,1.5861347420787866,49
ALHC,2026-02-19,1.5806016106492942,50
AD,2026-02-19,1.5599898869570847,51
HI,2026-02-19,1.5584138770426166,52
AMKR,2026-02-19,1.5432051555625312,53
LNC,2026-02-19,1.5354622517351564,54
STRK,2026-02-19,1.4921746752212466,55
INSW,2026-02-19,1.4854421643342752,56
NLY,2026-02-19,1.474865897105572,57
FTAI,2026-02-19,1.455452788904794,58
SCCO,2026-02-19,1.4551552207638792,59
ALL,2026-02-19,1.4412534945177211,60
ARLP,2026-02-19,1.4373737254161911,61
BLTE,2026-02-19,1.4355367033786004,62
BDX,2026-02-19,1.4307541510385644,63
SYF,2026-02-19,1.42649650583851,64
WBD,2026-02-19,1.4221944918740297,65
NGVT,2026-02-19,1.4156608064122396,66
LQDA,2026-02-19,1.4103494491729256,67
COMP,2026-02-19,1.4055627290978097,68
SM,2026-02-19,1.405112937711567,69
EE,2026-02-19,1.3929583166552153,70
INCY,2026-02-19,1.3923607773996045,71
HUT,2026-02-19,1.392011021648785,72
ENS,2026-02-19,1.3853664470453737,73
JXN,2026-02-19,1.38256533709288,74
MKSI,2026-02-19,1.3777662092457923,75
BXP,2026-02-19,1.3772133543954683,76
BTSG,2026-02-19,1.3758760279726283,77
BBT,2026-02-19,1.3571019192069198,78
GPCR,2026-02-19,1.349798066252714,79
LC,2026-02-19,1.3343340847940652,80
CENX,2026-02-19,1.3298053277742368,81
PR,2026-02-19,1.3169163713622336,82
OGN,2026-02-19,1.3166983840085285,83
TTMI,2026-02-19,1.3053739690877038,84
SEE,2026-02-19,1.3017664423465771,85
TER,2026-02-19,1.2887340895744608,86
BELFB,2026-02-19,1.2856182063049235,87
LEVI,2026-02-19,1.285516347997924,88
LGND,2026-02-19,1.2790296832154473,89
APA,2026-02-19,1.2775199677501534,90
MLI,2026-02-19,1.2597982999496502,91
UUUU,2026-02-19,1.2475256798019363,92
KRYS,2026-02-19,1.2467228883320476,93
ENVA,2026-02-19,1.246046594972287,94
KRC,2026-02-19,1.2108012314724792,95
FHI,2026-02-19,1.208714590569677,96
RDDT,2026-02-19,1.208186051078414,97
AMTM,2026-02-19,1.203737655107158,98
CIEN,2026-02-19,1.2020323620729974,99
HII,2026-02-19,1.1952041132813298,100
DAVE,2026-02-19,1.1879351404509548,101
DAL,2026-02-19,1.1854959171756323,102
EXPE,2026-02-19,1.1825215140225482,103
PSX,2026-02-19,1.1816353074034496,104
GNW,2026-02-19,1.1777989673873983,105
FIX,2026-02-19,1.1763622718836455,106
MDB,2026-02-19,1.173782804008321,107
PFSI,2026-02-19,1.1734446277411308,108
RGEN,2026-02-19,1.1719943808065685,109
TNL,2026-02-19,1.1601268254802788,110
MTCH,2026-02-19,1.1586566515074554,111
UTHR,2026-02-19,1.1550552407761403,112
KTOS,2026-02-19,1.1439542789181163,113
REAL,2026-02-19,1.1406285818214768,114
DBD,2026-02-19,1.1336037768613232,115
NATL,2026-02-19,1.1322732658771986,116
APAM,2026-02-19,1.1306612968612506,117
TSLA,2026-02-19,1.1295137803088242,118
APP,2026-02-19,1.128359038766526,119
BA,2026-02-19,1.1258609655427203,120
TVTX,2026-02-19,1.1251585662186023,121
SEB,2026-02-19,1.108669392276977,122
UEC,2026-02-19,1.1035238716432636,123
POWL,2026-02-19,1.095249071309186,124
CDP,2026-02-19,1.0881013400691368,125
GM,2026-02-19,1.086037795022884,126
FORM,2026-02-19,1.079743314087197,127
BWA,2026-02-19,1.0786858343208805,128
FSLR,2026-02-19,1.0691075646100738,129
PTEN,2026-02-19,1.0660190274207575,130
INDV,2026-02-19,1.063086960770856,131
PAA,2026-02-19,1.0559446168598436,132
LRCX,2026-02-19,1.054491428476497,133
VCYT,2026-02-19,1.0487418997745566,134
ONTO,2026-02-19,1.0442413957269558,135
FTDR,2026-02-19,1.042916820598582,136
EIX,2026-02-19,1.0414761178632264,137
HOLX,2026-02-19,1.0372603914894325,138
WHR,2026-02-19,1.033716713222368,139
ALB,2026-02-19,1.0334571133758306,140
IDCC,2026-02-19,1.0286891845472348,141
OUT,2026-02-19,1.0269937557324065,142
CMC,2026-02-19,1.0258125610268682,143
GEF,2026-02-19,1.0155795969143484,144
ZM,2026-02-19,1.013271674561384,145
SNX,2026-02-19,1.0126648312059596,146
MAT,2026-02-19,1.011918730585308,147
UPWK,2026-02-19,0.998397062435294,148
CC,2026-02-19,0.9965051179479484,149
PPC,2026-02-19,0.9907427549521316,150
ATRO,2026-02-19,0.981855747971664,151
DDS,2026-02-19,0.9816719894487967,152
HIG,2026-02-19,0.9758493012161116,153
EPAM,2026-02-19,0.9756263724854368,154
ALSN,2026-02-19,0.9726313348706208,155
AGX,2026-02-19,0.96790055504547,156
SHOO,2026-02-19,0.9414535683977212,157
GOOGL,2026-02-19,0.940625433802084,158
WST,2026-02-19,0.9340353699480876,159
GOOG,2026-02-19,0.9296223810681828,160
HURN,2026-02-19,0.9272153781037268,161
ACI,2026-02-19,0.9265112030612396,162
LCII,2026-02-19,0.924605674846375,163
SLGN,2026-02-19,0.9233110592706208,164
CMI,2026-02-19,0.9080384787257524,165
PHIN,2026-02-19,0.9069098431652258,166
TGTX,2026-02-19,0.9062402928625084,167
AES,2026-02-19,0.8982984220410454,168
UNH,2026-02-19,0.8947739649830012,169
EVR,2026-02-19,0.891315966711304,170
ICUI,2026-02-19,0.8906243482415263,171
PATH,2026-02-19,0.8872943744608482,172
W,2026-02-19,0.883076098147753,173
CINF,2026-02-19,0.8826617803602258,174
WEX,2026-02-19,0.8810264158636832,175
CALY,2026-02-19,0.8796144702417773,176
KRMN,2026-02-19,0.8766745026569339,177
HL,2026-02-19,0.8750033596421053,178
UAL,2026-02-19,0.8728841575109677,179
FRPT,2026-02-19,0.8666358381500407,180
HYMC,2026-02-19,0.8662908526285846,181
BKV,2026-02-19,0.8654112541688571,182
LYFT,2026-02-19,0.8623473340139183,183
MGM,2026-02-19,0.8623374402012888,184
WT,2026-02-19,0.8591689500428353,185
TRV,2026-02-19,0.8571212088453933,186
TPR,2026-02-19,0.8483042777774488,187
PLUS,2026-02-19,0.8482342745201299,188
AKAM,2026-02-19,0.8457431573855958,189
CACI,2026-02-19,0.8427927196990407,190
DECK,2026-02-19,0.8385153093148996,191
NXT,2026-02-19,0.8374264731169907,192
RKLB,2026-02-19,0.8336328673771605,193
HHH,2026-02-19,0.8321873044472937,194
COKE,2026-02-19,0.8314696009554431,195
COO,2026-02-19,0.8216988832714297,196
WFRD,2026-02-19,0.8169884803120133,197
GS,2026-02-19,0.812679721875802,198
LDOS,2026-02-19,0.8118053542627025,199
GHC,2026-02-19,0.809821555991265,200
M,2026-02-19,0.807720815676719,201
LASR,2026-02-19,0.8067778828379298,202
HTGC,2026-02-19,0.8051909457797686,203
PRIM,2026-02-19,0.8047948454207275,204
GLW,2026-02-19,0.8042800724967855,205
STT,2026-02-19,0.7995582450267993,206
SON,2026-02-19,0.7990416018557739,207
ARQT,2026-02-19,0.7975969155404625,208
ELV,2026-02-19,0.7970456163990557,209
ORI,2026-02-19,0.7897948217212355,210
FIBK,2026-02-19,0.7896074546676459,211
ATI,2026-02-19,0.7895789906414246,212
SANM,2026-02-19,0.7839863822831209,213
OI,2026-02-19,0.7831273762224827,214
OMCL,2026-02-19,0.7819750734126153,215
NOC,2026-02-19,0.7815679339690715,216
WMS,2026-02-19,0.7801183315739639,217
TOL,2026-02-19,0.7745461687475973,218
HUM,2026-02-19,0.772789236303294,219
CMCSA,2026-02-19,0.7713907829239387,220
WCC,2026-02-19,0.7709513842235909,221
AEIS,2026-02-19,0.7702801756090195,222
PEN,2026-02-19,0.7692046264153917,223
SWX,2026-02-19,0.764846776387293,224
FOXA,2026-02-19,0.7624992554726212,225
EAT,2026-02-19,0.7618396991838972,226
ACMR,2026-02-19,0.7604327632670985,227
FE,2026-02-19,0.7548016130365783,228
ADPT,2026-02-19,0.75032332106227,229
DINO,2026-02-19,0.7476396758126349,230
FSK,2026-02-19,0.7470497666940081,231
GVA,2026-02-19,0.7434196522483545,232
GEV,2026-02-19,0.7426317781262834,233
ACA,2026-02-19,0.7422184600916814,234
SCI,2026-02-19,0.7404431336776037,235
REYN,2026-02-19,0.7401700528846127,236
PRAX,2026-02-19,0.7383331514891674,237
BANC,2026-02-19,0.7376776967359887,238
CECO,2026-02-19,0.7376473441768663,239
TPC,2026-02-19,0.7370973396470838,240
MTRN,2026-02-19,0.7337337919510469,241
HALO,2026-02-19,0.7312926127156925,242
EL,2026-02-19,0.7250581084542387,243
TPB,2026-02-19,0.7229548537823808,244
VLY,2026-02-19,0.7228497806811605,245
MIRM,2026-02-19,0.7187975624594198,246
HAE,2026-02-19,0.7179299992007915,247
MEDP,2026-02-19,0.7159583424332501,248
LXP,2026-02-19,0.7141947522744427,249
PRU,2026-02-19,0.7066562338934839,250
RNG,2026-02-19,0.7038789975479093,251
FCX,2026-02-19,0.6999632362285033,252
CBOE,2026-02-19,0.6977368446732134,253
IEP,2026-02-19,0.6933030868254104,254
INTC,2026-02-19,0.6932048555476532,255
FLNC,2026-02-19,0.6929496198211846,256
HAL,2026-02-19,0.6898929788441536,257
KNX,2026-02-19,0.6893998900222686,258
MRCY,2026-02-19,0.6852962703859693,259
KWR,2026-02-19,0.684125202670304,260
CTSH,2026-02-19,0.681568525579381,261
RRR,2026-02-19,0.6765438062765625,262
SAM,2026-02-19,0.6764201469586202,263
JOE,2026-02-19,0.6748002417491504,264
DG,2026-02-19,0.6741723279284825,265
RUSHA,2026-02-19,0.6733353921750226,266
ROL,2026-02-19,0.6723812267882888,267
TMDX,2026-02-19,0.6715734913169582,268
DCI,2026-02-19,0.6685105955274633,269
ZETA,2026-02-19,0.6682395753104404,270
HP,2026-02-19,0.6676760778662513,271
PAGP,2026-02-19,0.6671970323165373,272
SGI,2026-02-19,0.6610567838588399,273
CF,2026-02-19,0.6580584763430062,274
NXST,2026-02-19,0.6571586482166826,275
UGI,2026-02-19,0.650341424070941,276
GBDC,2026-02-19,0.6464537752629431,277
SLM,2026-02-19,0.6438334113303767,278
OPEN,2026-02-19,0.6436175700192043,279
KTB,2026-02-19,0.6392629505859845,280
SKYW,2026-02-19,0.6347483114389404,281
MRP,2026-02-19,0.6324217191172942,282
OMC,2026-02-19,0.6315187217788776,283
RMD,2026-02-19,0.6275198782420196,284
DBRG,2026-02-19,0.6169501749781199,285
SSD,2026-02-19,0.6167583479098449,286
MPLX,2026-02-19,0.6166935101250931,287
EEFT,2026-02-19,0.6161398663392339,288
AMRX,2026-02-19,0.6140486724838491,289
AZZ,2026-02-19,0.6120596071710512,290
TROW,2026-02-19,0.6120021546504215,291
RSI,2026-02-19,0.6115536123019215,292
PLD,2026-02-19,0.6048565347423532,293
